CG1 — 42.5%,CG2 —  50.5%,CG3 —  86%,CG4 — 86.5%,CG5 — 86.5%,,,CG1 — 40.5%,CG2 — 53.5%,CG2 — 88%,CG4 — 88.5%,CG5 — 88.5%
1.8547,6.01617,6.01617,6.01617,6.01617,,,2.99815,7.87167,7.87167,7.87167,7.87167
0.469461,4.23121,4.23121,4.23121,4.23121,,,0.42354,9.90814,9.90814,9.90814,9.90814
0.346118,0.36421,0.938334,0.938334,0.938334,,,1.19286,0.418154,190.563,190.563,190.563
0.354076,0.407837,3.36526,3.36526,3.36526,,,0.366794,0.376693,26.7007,26.7007,26.7007
0.4799,14.2419,14.2419,14.2419,14.2419,,,0.400712,93.0279,93.0279,93.0279,93.0279
1.34551,1.34551,1.34551,1.34551,1.34551,,,1.28759,1.28759,1.28759,1.28759,1.28759
9.21972,0.598593,0.577594,0.577594,0.577594,,,0.450834,0.331463,0.579517,1.07566,1.07566
0.437779,1.74558,0.397374,0.397374,0.397374,,,0.433724,202.435,202.435,202.435,202.435
1.7112,1.7112,1.7112,1.7112,1.7112,,,1.69219,1.69219,1.69219,1.69219,1.69219
0.159112,0.861373,0.861373,0.861373,0.861373,,,0.157192,0.157192,0.157192,0.157192,0.157192
0.452017,56.1713,56.1713,56.1713,56.1713,,,0.436817,56.5067,56.5067,56.5067,56.5067
8033.25,0.0338753,1.80512,1.80512,1.80512,,,0.492326,0.54052,0.770362,0.770362,0.770362
6.84574,0.0200478,6.08959,6.08959,6.08959,,,2.24198,0.73305,108.137,108.137,108.137
1.03522,1.07851,1.28417,1.28417,1.28417,,,1.03964,0.977379,1.45113,1.45113,1.45113
12.335,0.429731,104.138,104.138,104.138,,,4.48008,0.494334,9.35314,9.35314,9.35314
0.857399,87.1544,87.1544,87.1544,87.1544,,,0.781242,71.5893,71.5893,71.5893,71.5893
3.18538,0.459761,1.0936,1.0936,1.0936,,,2.76541,0.550539,149.731,149.731,149.731
43.2348,1.82123,10.6018,10.6018,10.6018,,,4.12777,0.778684,163.257,163.257,163.257
0.26415,3.98066,3.98066,3.98066,3.98066,,,0.342826,33.6979,33.6979,33.6979,33.6979
0.820415,346.123,346.123,346.123,346.123,,,0.445332,119.285,119.285,119.285,119.285
1.79194,1.79194,1.79194,1.79194,1.79194,,,1.65431,1.65431,1.65431,1.65431,1.65431
1.14555,1.14555,1.14555,1.14555,1.14555,,,1.15179,1.15179,1.15179,1.15179,1.15179
8.58396,0.263531,3.32838,3.32838,3.32838,,,13.6014,0.245434,30.5898,30.5898,30.5898
3.64764,0.348712,2.37181,2.37181,2.37181,,,0.47162,0.47162,0.47162,0.47162,0.47162
2.3022,60.6941,60.6941,60.6941,60.6941,,,2.02391,111.754,111.754,111.754,111.754
0.680018,44.5975,44.5975,44.5975,44.5975,,,0.621654,148.189,148.189,148.189,148.189
1.04592,5.08867,2.24792,2.24792,2.24792,,,0.938034,33.5102,33.5102,33.5102,33.5102
0.223626,1.84266,1.56182,1.56182,1.56182,,,0.8335,0.8335,0.8335,0.8335,0.8335
0.368362,724.407,724.407,724.407,724.407,,,0.370768,1951.48,1951.48,1951.48,1951.48
0.871886,0.866387,2.52988,2.52988,2.52988,,,0.895065,0.863349,2.54311,2.54311,2.54311
5.3656,0.743231,1.12995,1.12995,1.12995,,,3.46735,5.26811,5.26811,5.26811,5.26811
0.410475,12.7654,12.7654,12.7654,12.7654,,,0.409796,380.552,380.552,380.552,380.552
5.2718,0.575384,108.897,108.897,108.897,,,198.211,0.826861,28.7161,28.7161,28.7161
2.09885,2.09885,2.09885,2.09885,2.09885,,,2.32577,2.32577,2.32577,2.32577,2.32577
0.960692,0.90921,0.893421,28.6767,28.6767,,,0.924112,0.904009,0.904009,0.904009,0.904009
0.666679,13.3874,13.3874,13.3874,13.3874,,,0.725779,83.8246,83.8246,83.8246,83.8246
25.7553,0.416029,2.51855,2.51855,2.51855,,,2.33651,27.5134,27.5134,27.5134,27.5134
0.477757,0.0476765,13.9825,13.9825,13.9825,,,1.27988,0.352745,22.5844,22.5844,22.5844
1.01313,91.8554,91.8554,91.8554,91.8554,,,0.751418,164.447,164.447,164.447,164.447
0.362615,0.425931,1.29903,1.29903,1.29903,,,1.35689,1.3005,3.71253,3.71253,3.71253
0.855824,138.678,138.678,138.678,138.678,,,0.815197,120.848,120.848,120.848,120.848
0.700413,122.633,122.633,122.633,122.633,,,0.525089,40.5471,40.5471,40.5471,40.5471
0.872247,2.21384,1.86355,1.86355,1.86355,,,0.84957,2.11525,2.11525,2.11525,2.11525
